Событие 1;Событие 2;Общих слов
"Иннопром"-2017;"Шедевры Византии и Ватикана" в Третьяковке;1
"Иннопром"-2017;Ассамблея МПС;1
"Иннопром"-2017;Взрывы в Санкт-Петербурге;1
"Иннопром"-2017;Визит Владимира Путина в Японию;1
"Иннопром"-2017;Восточный экономический форум;2
"Иннопром"-2017;Выборы президента Киргизии;1
"Иннопром"-2017;Выборы президента Приднестровья (2016);1
"Иннопром"-2017;Выборы президента США (2016);1
"Иннопром"-2017;Выборы президента Франции (2017);1
"Иннопром"-2017;Высылка российских дипломатов из США;1
"Иннопром"-2017;Газовый конфликт России и Украины;1
"Иннопром"-2017;Дело Севастиди;1
"Иннопром"-2017;День ВМФ;1
"Иннопром"-2017;Кризис в Венесуэле;1
"Иннопром"-2017;Отзыв лицензий у банков;1
"Иннопром"-2017;Отставка Саакашвили;1
"Иннопром"-2017;Отставки губернаторов;1
"Иннопром"-2017;ПМЭФ-2017;1
"Иннопром"-2017;Переговоры Путина и Трампа;2
"Иннопром"-2017;Политический кризис в Бразилии;1
"Иннопром"-2017;Политический пранк;1
"Иннопром"-2017;Послание Путина Федеральному собранию;1
"Иннопром"-2017;Президентские выборы в Узбекистане;2
"Иннопром"-2017;Пресс-конференция Владимира Путина (2016);2
"Иннопром"-2017;Пресс-конференция Дональда Трампа;2
"Иннопром"-2017;Продажа акций "Роснефти";2
"Иннопром"-2017;Путин на Валдае;2
"Иннопром"-2017;Распространение ВИЧ в России;1
"Иннопром"-2017;Реформа ООН;2
"Иннопром"-2017;Саммит G20;1
"Иннопром"-2017;Саммит АТЭС;1
"Иннопром"-2017;Скандал вокруг Илюмжинова;1
"Иннопром"-2017;Снос хрущевок в Москве;1
"Иннопром"-2017;Собрание РАН;1
"Иннопром"-2017;Трамп - президент США;1
"Иннопром"-2017;Участие Собчак в выборах президента;2
"Иннопром"-2017;Юбилей Путина;2
"Шедевры Византии и Ватикана" в Третьяковке;"Иннопром"-2017;1
"Шедевры Византии и Ватикана" в Третьяковке;Дело о скифском золоте;1
"Шедевры Византии и Ватикана" в Третьяковке;Евровидение-2017;1
"Шедевры Византии и Ватикана" в Третьяковке;Передача Исаакиевского собора РПЦ;1
«Группы смерти» в интернете;АрМИ-2017;1
«Группы смерти» в интернете;Всемирные военные игры;1
«Группы смерти» в интернете;Гибель дельфинов;1
«Группы смерти» в интернете;История Дианы Шурыгиной;1
«Группы смерти» в интернете;Кубок Конфедераций;1
«Группы смерти» в интернете;Лига чемпионов;1
«Группы смерти» в интернете;Президентские выборы в Узбекистане;1
«Группы смерти» в интернете;Скончалась Вера Глаголева;1
«Группы смерти» в интернете;Смерть Дмитрия Марьянова;1
«Группы смерти» в интернете;Умер актер Алексей Петренко;1
«Группы смерти» в интернете;Чемпионат мира по биатлону (2017);1
8 марта;Антикоррупционные митинги;1
8 марта;Великий пост;1
8 марта;Выборы президента России;1
8 марта;Дело Севастиди;1
8 марта;День Победы;1
8 марта;День России;2
8 марта;День защитника Отечества;3
8 марта;День знаний;1
8 марта;Крещение Господне (2017);1
8 марта;Курбан-байрам;1
8 марта;Масленица 2017;1
8 марта;Новый год;1
8 марта;Пасха 2017;1
8 марта;Теракт в Лондоне;1
8 марта;Юбилей Путина;1
Авария Ил-18 в Якутии;Взрыв газа в Волгограде;1
Авария Ил-18 в Якутии;Вооружение и военные технологии России;1
Авария Ил-18 в Якутии;Конфликт Турции и Нидерландов;1
Авария Ил-18 в Якутии;Крушение Ту-154 Минобороны РФ в Черном море;1
Авария Ил-18 в Якутии;Крушение турецкого самолета в Бишкеке;1
Авария Ил-18 в Якутии;Массовое отравление "Боярышником" в Иркутске;1
Авария Ил-18 в Якутии;Обрушение многоэтажки в Казахстане;1
Авария Ил-18 в Якутии;Расправа над медведем в Якутии;1
Авария Ил-18 в Якутии;Спецоперация РФ в Сирии;1
Авария Ил-18 в Якутии;Ураган "Ирма";1
Авария корабля "Прогресс";Гибель топ-менеджера Роскосмоса;1
Авария корабля "Прогресс";ДТП с Николаем Караченцовым;1
Авария корабля "Прогресс";ДТП с автобусом;2
Авария корабля "Прогресс";День ВМФ;1
Авария корабля "Прогресс";Крупное ДТП под Саратовом;2
Авария корабля "Прогресс";Крушение турецкого самолета в Бишкеке;1
Авария корабля "Прогресс";Расправа над медведем в Якутии;1
Авария корабля "Прогресс";Система "Платон";1
Авария корабля "Прогресс";Теракт в Берлине;1
Администрация Дональда Трампа;Великий пост;1
Администрация Дональда Трампа;Выборы президента Австрии;1
Администрация Дональда Трампа;Выборы президента Киргизии;1
Администрация Дональда Трампа;Выборы президента Молдавии (2016);1
Администрация Дональда Трампа;Выборы президента Приднестровья (2016);1
Администрация Дональда Трампа;Выборы президента США (2016);3
Администрация Дональда Трампа;Выборы президента Франции (2017);2
Администрация Дональда Трампа;Высылка российских дипломатов из США;1
Администрация Дональда Трампа;Выход США из ЮНЕСКО;1
Администрация Дональда Трампа;Глава "Почты России";1
Администрация Дональда Трампа;Дело Фирташа;1
Администрация Дональда Трампа;Единый день голосования;1
Администрация Дональда Трампа;Захват Китаем дрона США;1
Администрация Дональда Трампа;Иранская ядерная проблема;2
Администрация Дональда Трампа;Отставка Саакашвили;1
Администрация Дональда Трампа;Отставки губернаторов;1
Администрация Дональда Трампа;Переговоры Путина и Трампа;1
Администрация Дональда Трампа;Пресс-конференция Дональда Трампа;3
Администрация Дональда Трампа;Пресс-конференция Сергея Лаврова;2
Администрация Дональда Трампа;Реформа ООН;2
Администрация Дональда Трампа;Ситуация вокруг банка "Югра";1
Администрация Дональда Трампа;Скандал вокруг Илюмжинова;1
Администрация Дональда Трампа;Собрание РАН;2
Администрация Дональда Трампа;Спецоперация РФ в Сирии;1
Администрация Дональда Трампа;Трамп - президент США;2
Администрация Дональда Трампа;Ураган "Ирма";1
Администрация Дональда Трампа;Уход Леонида Слуцкого из ЦСКА;1
Администрация Дональда Трампа;Участие Собчак в выборах президента;2
Администрация Дональда Трампа;Церемония вручения "Оскар" 2017;1
Администрация Дональда Трампа;Шторм "Харви";2
