Номер,Слова,Событие,Дата обучения выборки,Локация,Количество протегированных текстов
int,,string,string,string,int
1,Моторола;ДНР;убийство;Павлов;командир;Захарченко;гибель;Донецк;ополчение;ополченец;лифт,Убийство мотороллы,10/17/2016,Донецк;Украина,899
2,Клинтон;Трамп;США;кандидат;ФБР;президент;Обама;демократ;республиканец;расследование,Выборы президента США (2016),10/21/2016,США,14485
3,гражданство;Перкинс;Сигал;актер;Депардье;Монсон;Россия;чемпионат;российский;гражданин,Российское гражданство мировых знаменитостей,10/28/2016,Россия,446
4,Алеппо;боевик;Сирия;Мосул;террорист;провинция;Ту-154;Трамп;коалиция;сирийский,Спецоперация РФ в Сирии,11/01/2016,Сирия,0
5,гектар;Сигал;дальневосточный;актёр;участок;агент;приморский;земля;получение;Приморье,Стивен Сигал,11/03/2016,Россия,148
6,Алеппо;Сирия;провинция;боевик;сирийский;прекращение;гуманитарный;деэскалация;примирение;военный,Военные действия в Алеппо,11/04/2016,Алеппо,13036
7,Евровидение;конкурс;Украина;Киев;билет;euronews;проведение;телекомпания;суд;Самойлова,Евровидение-2017,11/06/2016,Киев;Украина,5465
8,Приднестровье;президент;республика;Красносельский;ПМР;Шевчук;выборы;парламент;кандидат;избирательный,Выборы президента Приднестровья (2016),12/11/2016,Приднестровье,0
9,Молдавия;Додон;выборы;кандидат;тур;партия;голос;социалист;президентский;лидер,Выборы президента Молдавии (2016),11/13/2016,Молдавия,2573
10,Германия;Меркель;партия;Бундестаг;выборы;альтернатива;парламент;ХДС;канцлер;результат,Парламентские выборы в Германии (2017),09/24/2017,Германия,0
11,Саакашвили;отставка;одесская;область;губернатор;Порошенко;Грузия;пост;Украина;президент,Отставка Саакашвили,11/07/2016,Одесса;Украина,1421
12,Трамп;Клинтон;США;Чуркин;американский;президент;Иран;санкция;победа;экономика,Трамп - президент США,11/09/2016,США,124968
13,диверсант;группа;ФСБ;Панов;Крым;задержать;диверсия;разведка;задержать;Панов,Украинские диверсанты в Крыму,11/10/2016,Крым; Россия,1066
14,ВИЧ;Екатеринбург;эпидемия;ВИЧ-инфекция;профилактика;здравоохранение;инфицировать;заразить;СПИД;распространение,Распространение ВИЧ в России,11/12/2016,Россия,509
15,Ту-154;гиперзвуковой;Пальмира;КНДР;Корея;Сирия;боевик;ВКС;проект;террорист,Вооружение и военные технологии России,11/12/2016,Россия,86372
16,Улюкаев;министр;Роснефть;взятка;Сечин;суд;получение;экономический;дело;развитие,Уголовное дело Улюкаева,11/14/2016,Москва;Россия,1889
17,пранкер;Порошенко;Вован;разговор;Лексус;президент;Киргизия;Лимпопо;розыгрыш;телефонный,Политический пранк,02/21/2017,Москва;Киев;Киргизия;США,2380
18,АТЭС;саммит;Лима;Перу;Путин;экономический;сотрудничество;встреча;Кремль;итог,Саммит АТЭС,11/20/2016,Лима; Перу,9961
19,Янукович;суд;допрос;ноябрь;Украина;Киев;Майдан;заседание;дело;экс-президент,Допрос Януковича,12/15/2016,Ростов-на-Дону;Россия;Киев;Украина,1630
20,собрание;федеральный;послание;Путин;развитите;выступление;проходить;Георгиевский;дворец;государство,Послание Путина Федеральному собранию,12/01/2016,Москва;Россия,3909
21,Карякин;партиия;восьмой;шахматист;Карлсен;штраф;уход;чемпион;матч;победа,Чемпионат мира по шахматам (2016),11/11/2016,Нью-Йорк;США,505
22,санкция;Россия;ввести;Евросоюз;отношение;ответный;мера;антироссийский;отмена;Запад,Санкции Запада против России,10/17/2016,,0
23,поток;Турция;газопровод;турецкий;нитка;строительство;проект;соглашение;газ;парламент,Строительство "Турецкого потока",10/10/2016,Россия;Турция,8643
24,Прогресс МС-04;корабль;падение;двигатель;космический;обломок;грузовой;Роскосмос;грузовик;авария,Авария корабля "Прогресс",12/01/2016,Тыва;Россия,332
25,кибератака;атака;Сбербанк;ФСБ;хакер;банк;система;хакерский;взлом;компьютерный,Кибератаки,12/10/2016,,0
26,Италия;Ренци;референдум;реформа;отставка;правительство;конституционность;проголосовать;конституция;премьер-министр,Провал конституционного референдума в Италии,12/05/2016,Италия,459
27,Узбекистан;Каримов;Мирзиёев;ислам;Самарканд;Путин;временно;смерть;президент;похороны,Президентские выборы в Узбекистане,12/04/2016,Узбекистан,359
28,учение;сентябрь;мирный;ШОС;Шанхайская;Запад-2017;полигон;совместный;миссия;стартовать,Учения ВС России,12/05/2016,Россия,12895
29,Австрия;Хофер;Беллен;партия;выборы;зеленый;свобода;президентский;кандидат;голос,Выборы президента Австрии,12/04/2016,Австрия,649
30,гран-при;этап;катание;фигурный;программа;Япония;балл;юниорский;короткий;танец,Гран-при по фигурному катанию,12/08/2016,Марсель,1288
31,ЦСКА;тренер;Слуцкий;клуб;Гончаренко;главный;уход;матч;пост;команда,Уход Леонида Слуцкого из ЦСКА,12/06/2016,Москва;Россия,745
32,Япония;Путин;визит;остров;Абэ;японский;Россия;Токио;сотрудничество;встреча,Визит Владимира Путина в Японию,12/15/2016,Япония,2444
33,Роснефть;сделка;компания;акция;приватизация;Сечин;Путин;миллиард;продажа;рубль,Продажа акций "Роснефти",12/10/2016,,3139
34,Стамбул;теракт;станция;метро;Турция;переход;стадион;газовый;полицейский;террорист,Теракт в Стамбуле,12/10/2016,Стамбул;Турция,3042
35,премия;нобелевская;лауреат;награда;получить;комитет;литература;шведский;вручить;Стокгольм,Нобелевская премия,10/09/2017,Стокгольм;Швеция,1259
36,Трамп;Тиллерсон;пост;США;госсекретарь;Мэттис;избранный;глава;администрация;кандидат,Администрация Дональда Трампа,01/20/2017,США,0
37,Макларен;доклад;WADA;спортсмен;допинг;комиссия;Мутко;проба;часть;российский,Допинг-скандал вокруг российских спортсменов,12/09/2016,,4280
38,ЛНР;миротворец;ВСУ;калибр;мина;гранатомёт;Волкер;Басурин;Марочко;замкомандующий,Война на Донбассе,10/10/2016,Донбасс,329701
39,Ельцин;Михалков;центр;Ельцин-центр;режиссёр;Ельцина;история;самоознание;деятельность;Россия,Спор о "Ельцин Центре",12/09/2016,Екатеринбург;Россия,423
40,золото;музей;Крым;скифский;суд;Украина;Амстердам;коллекция;решение;экспонат,Дело о скифском золоте,12/14/2016,Крым;Россия,544
41,Газпром;Нафтогаз;газ;Украина;Коболев;Новак;цена;проигрыш;компания;доллар,Газовый конфликт России и Украины,10/20/2016,Россия;Украина,10811
42,подводный;США;беспилотник;аппарат;захватить;ВМС;Пентагон;Китай;дрон;вернуть ,Захват Китаем дрона США,12/17/2016,Китай,225
43,Платон;тариф;система;Минтранс;тонна;рубль;повышение;грузовик;плата;федеральный,Система "Платон" и акции протеста,03/27/2017,Россия,413
44,Белоруссия;газ;Минск;долг;платёж;Дворкович;нефть;поставка;авансовый;оплата,Газовый спор России и Белоруссии,04/03/2017,Россия;Белоруссия,3861
45,страховой;лицензия;банк;отозвать;брокер;компания;Татфондбанк;актив;страхование;Центробанк,Отзыв лицензий у банков,03/03/2017,Россия,6080
46,боярышник;Иркутск;отравление;концентрат;ванна;пострадавший;массовый;принятие;отравиться;жидкость,Массовое отравление "Боярышником" в Иркутске,12/18/2016,Иркутск,1596
47,Ил-18;Якутия;Тикси;пострадавший;посадка;тяжёлый;аварииный;посёлок;Ту-154;булунский,Авария Ил-18 в Якутии,12/19/2016,Якутия,346
48,Берлин;грузовик;теракт;толпа;ярмарка;водитель;полиция;погибнуть;рождественский;Германия,Теракт в Берлине,12/19/2016,Берлин,1503
49,посол;Турция;Анкара;нападение;Карлов;российский;покушение;МИД;Россия;фотовыставка,Убийство посла РФ в Турции,12/19/2016,Турция; Анкара,2786
50,Караулова;суд;студентка;попытка;МГУ;приговор;примкнуть;ИГИЛ;колония;исламский,Дело Варвары Карауловой,12/22/2016,Москва;Россия,102
51,взрыв;станция;Коломенская;метро;баллон;переход;пострадать;Москва;произойти;газовый,Взрыв у станции метро "Коломенская",12/22/2016,Москва,72
52,Путин;декабрь;президент;посол;большой;Карлов;перенести;мероприятие;убитый;Песков,Пресс-конференция Владимира Путина (2016),12/23/2016,Москва; Россия,706
53,Мальта;самолёт;захватить;пассажир;ливийский;угонщик;захватчик;борт;afriqiyah airways;приземлиться,Захват самолета на Мальте,12/23/2016,Мальта,0
54,Ту-154;Миноборона;Сочи;чёрный;канал;радар;звезда;побережье;журналист;пропасть,Крушение Ту-154 Минобороны РФ в Черном море,12/25/2016,Черное море,9128
55,приморский;партизан;суд;присяжный;Ковтун;дело;Никитин;приговор;оправдательный;убийство,Дело «приморских партизан»,07/20/2017,Приморский край;Россия,10
56,медведь;Якутия;видео;жестокий;вахтовик;животный;Урал;грузовик;убийство;расправа,Расправа над медведем в Якутии,12/27/2016,Якутия,31
57,дипломат;США;Обама;санкция;российский;американский;Россия;президент;посольство;Лавров,Высылка российских дипломатов из США,12/29/2016,США,8401
58,новый;2017;петух;встретить;МКС;ансамбль;новогодний;разрешение;праздник;высокий,Новый год,12/31/2016,,13779
59,Стамбул;клуб;теракт;нападение;ночной;Турция;новогодний;Reina;погибший;стрельба,Нападение на ночной клуб в Стамбуле,01/01/2017,Стамбул;Турция,1116
60,дом;Шахан;карагандинская;область;посёлок;Казахстан;обрушение;январь;завал;погибнуть,Обрушение многоэтажки в Казахстане,01/02/2017,Казахстан,224
61,взрыв;Измир;турецкий;Турция;прогреметь;здание;суд;город;объект;теракт,Теракт в турецком Измире,01/05/2017,Измир;Турция,1231
