,русь,старуха,приехала,в,москву,издалека,свой,северный,край,называет,русью,большая,бокастая,ходит,в,валенках,в,теплой,стеганой,безрукавке,лицо,крупное,желтоглазое,в,космах,толстых,седых,волос,лицо,восемнадцатого,века,спросил,ее,как,то,а,сколько,вам,лет,будет,семьдесят,семь,господин,милый,а,вы,дай,бог,не,сглазить,еще,совсем,хоть,куда,а,что,ж,мне,это,года,не,велики,наш,родитель,до,ста,лет,дожил,чаю,она,не,пьет,сахару,не,ест,пьет,горячую,воду,с,черным,хлебом,с,селедкой,или,солеными,огурцами,вы,никогда,небось,и,не,хворали,нет,трясовица,была,на,мне,порча,на,мне,была,мужа,страшилась,как,он,ко,мне,с,любовным,чувством,меня,и,начинало,трясти,корежить,сжечь,бы,ее,ту,что,напустила,на,меня,это,слово,сжечь,одно,из,ее,любимых,про,большевиков,говорит,очень,строго,не,смеют,они,так,про,бога,говорить,бог,наш,а,не,их,сжечь,бы,их,всех,ее,рассказы,о,родине,величавы,леса,там,темны,дремучи,снега,выше,вековых,сосен,бабы,мужики,шибко,едут,в,лубяных,санках,на,кубастых,лохматых,коньках,все,в,лазоревых,крашеного,холста,тулупах,со,стоячими,аршинными,воротами,из,жестокого,псиного,меху,и,в,таких,же,шапках,морозы,грудь,насквозь,прожигают,солнце,на,закате,играет,как,в,сказке,то,блещет,лиловым,то,кумачовым,а,то,все,кругом,рядит,в,золото,или,зелень,звезды,ночью,в,лебяжье,яйцо
лицо,0,2,3,3,3,3,0,0,0,0,0,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,3,3,,7,7,0,0,0,0,1,1,1,1,1,3,3,0,0,1,2,2,2,2,2,2,2,2,2,0,0,0,0,1,1,2,2,1,1,1,1,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
века,0,2,2,2,2,2,0,0,0,0,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,7,8,,0,0,0,0,1,1,1,1,1,2,2,0,0,1,2,2,2,2,2,2,2,2,2,0,0,0,0,1,1,2,2,2,2,1,2,2,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,4,4,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,4,4,5,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
строго,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,3,3,5,4,4,1,1,1,1,0,0,0,0,0,2,2,1,1,1,2,4,4,4,4,2,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,10,10,10,10,,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,5,5,5,5,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
о,0,1,2,2,2,5,4,4,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,5,4,4,2,2,2,2,0,0,0,0,0,1,1,1,1,1,2,3,3,3,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,,11,10,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,2,3,3,2,3,2,2,3,3,4,4,4,4,4,4,4,4,4,4
ее,0,2,1,1,1,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,3,3,4,3,3,1,1,1,1,0,0,0,0,0,2,2,1,1,1,1,2,2,2,2,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,7,7,7,7,,7,5,5,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
из,0,2,1,1,1,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,3,3,4,3,3,1,1,1,1,0,0,0,0,0,2,2,1,1,1,1,2,2,2,2,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,7,7,7,,7,7,5,5,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
сжечь,0,2,1,1,1,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,3,3,4,3,3,1,1,1,1,0,0,0,0,0,2,2,1,1,1,1,2,2,2,2,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,8,,7,7,7,7,5,5,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
любимых,0,2,1,1,1,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,3,3,4,3,3,1,1,1,1,0,0,0,0,0,2,2,1,1,1,1,2,2,2,2,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,7,7,7,7,7,,5,5,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
слово,0,2,1,1,1,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,3,3,4,3,3,1,1,1,1,0,0,0,0,0,2,2,1,1,1,1,2,2,2,2,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,8,7,7,7,7,5,5,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
одно,0,2,1,1,1,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,3,3,4,3,3,1,1,1,1,0,0,0,0,0,2,2,1,1,1,1,2,2,2,2,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,7,7,,7,7,7,5,5,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
