Source,Target,id,weight
22.0,0.0,859,1.0
21.0,0.0,858,1.0
20.0,0.0,857,1.0
19.0,0.0,855,1.0
18.0,0.0,854,2.0
17.0,0.0,852,2.0
16.0,0.0,851,2.0
15.0,0.0,850,2.0
14.0,0.0,845,5.0
7.0,0.0,843,2.0
6.0,0.0,840,8.0
4.0,0.0,836,1.0
3.0,0.0,835,5.0
5.0,0.0,834,25.0
2.0,0.0,811,2.0
1.0,0.0,809,3.0
41.0,1.0,821,1.0
40.0,1.0,819,1.0
2.0,1.0,812,2.0
39.0,1.0,810,2.0
38.0,1.0,808,1.0
37.0,1.0,807,1.0
30.0,1.0,806,1.0
29.0,1.0,805,10.0
22.0,1.0,804,1.0
28.0,1.0,803,2.0
1636.0,3.0,913,1.0
1502.0,3.0,910,4.0
275.0,3.0,909,1.0
170.0,3.0,874,1.0
284.0,3.0,873,1.0
882.0,3.0,871,2.0
870.0,3.0,868,3.0
14.0,3.0,848,2.0
6.0,3.0,846,2.0
5.0,3.0,838,3.0
4.0,3.0,837,12.0
882.0,4.0,872,1.0
20.0,4.0,870,2.0
870.0,4.0,869,2.0
152.0,4.0,867,1.0
170.0,4.0,866,3.0
284.0,4.0,865,3.0
5.0,4.0,839,1.0
18.0,5.0,905,4.0
14.0,5.0,849,2.0
7.0,5.0,844,2.0
6.0,5.0,841,7.0
1635.0,6.0,880,1.0
1880.0,6.0,879,1.0
1867.0,6.0,875,2.0
1437.0,6.0,864,9.0
14.0,6.0,847,4.0
7.0,6.0,842,1.0
1775.0,7.0,908,2.0
1892.0,7.0,906,3.0
1437.0,14.0,878,1.0
1867.0,14.0,877,1.0
17.0,16.0,853,9.0
1969.0,18.0,904,1.0
19.0,18.0,856,1.0
1597.0,19.0,903,1.0
1590.0,19.0,902,4.0
1620.0,19.0,901,1.0
1883.0,19.0,899,1.0
2037.0,19.0,897,2.0
1929.0,19.0,895,2.0
2073.0,19.0,893,2.0
1823.0,19.0,890,4.0
1916.0,20.0,891,4.0
1437.0,29.0,2716,1.0
41.0,40.0,820,1.0
1852.0,41.0,2808,2.0
1735.0,170.0,1526,6.0
870.0,193.0,1584,2.0
870.0,270.0,2188,1.0
882.0,870.0,2189,2.0
1584.0,870.0,2187,5.0
1635.0,1437.0,882,1.0
1880.0,1437.0,881,1.0
1867.0,1437.0,876,2.0
2037.0,1597.0,2829,2.0
1620.0,1597.0,2755,1.0
1823.0,1597.0,2754,5.0
2073.0,1620.0,2761,2.0
1823.0,1620.0,900,2.0
1880.0,1635.0,883,4.0
1892.0,1775.0,907,3.0
2073.0,1823.0,2802,1.0
2037.0,1823.0,2801,6.0
1883.0,1823.0,898,2.0
2037.0,1929.0,896,2.0
2073.0,1929.0,892,4.0
2073.0,2037.0,894,2.0
