id,label,timeset,name,citations,publications,modularity_class
8.0,Стернин И.А.,,160087,19537,794,4
46.0,Бутакова Л.О.,,283063,655,107,8
51.0,Кашкин В.Б.,,75315,1927,109,6
108.0,Прохоров Ю.Е.,,415935,3192,51,4
161.0,Пепеляева Е.В.,,677524,6,5,3
165.0,Болдырев Б.В.,,71710,587,83,0
171.0,Шилихина К.М.,,481319,474,125,6
194.0,Попова М.К.,,104789,242,147,1
196.0,Козельская Н.А.,,723016,124,100,4
198.0,Бебчук Е.М.,,271031,108,49,2
208.0,Чернышова Т.В.,,659547,715,112,1
211.0,Камбаралиева У.Д.,,872543,4,9,4
225.0,Барышев Н.В.,,799529,11,6,4
251.0,Куликова Г.С.,,360591,219,12,5
259.0,Лемяскина Н.А.,,366959,200,17,4
296.0,Копнина Г.А.,,350428,800,144,3
300.0,Ищенко Е.Н.,,333484,212,134,1
307.0,Дускаева Л.Р.,,164082,1274,83,3
308.0,Салимовский В.А.,,164083,834,55,3
314.0,Фомина И.В.,,462548,121,52,4
315.0,Кожина М.Н.,,164090,1965,35,3
316.0,Мишланов В.А.,,164091,149,33,3
324.0,Саломатина М.С.,,428297,170,90,4
333.0,Трущинская А.С.,,721171,19,9,4
370.0,Осипов Б.И.,,184652,528,105,8
378.0,Никитина Л.Б.,,395606,284,47,8
400.0,Лихачева А.Ю.,,369020,0,1,4
408.0,Зимина Л.И.,,663953,95,14,4
428.0,Тимошина Т.В.,,450990,27,13,4
445.0,Миронова Н.Ю.,,71075,2,2,8
453.0,Кыркунова Л.Г.,,526809,60,22,5
455.0,Васильева В.В.,,526811,107,36,8
463.0,Листрова-Правда Ю.Т.,,510439,239,86,4
465.0,Васильев А.Д.,,666092,716,112,1
467.0,Харченко В.К.,,465390,978,125,4
485.0,Чвягина Т.В.,,750107,3,9,4
492.0,Полубоярин С.В.,,586277,4,4,4
502.0,Маклакова Е.А.,,614966,281,159,4
512.0,Носырева Е.И.,,397896,753,82,4
521.0,Смирнова Е.М.,,494165,10,19,8
562.0,Шилова Г.Е.,,481388,10,8,4
563.0,Савченко А.Л.,,713355,19,83,1
577.0,Колтышева Е.Ю.,,508581,22,9,4
590.0,Селезнёва Г.Я.,,711354,74,88,4
592.0,Болотнова Н.С.,,105148,4157,289,3
598.0,Мисюров Н.Н.,,754375,31,70,8
619.0,Овчинникова И.Г.,,72383,617,57,4
649.0,Орлова Н.В.,,401153,363,60,8
651.0,Атланова Е.О.,,736031,26,16,4
656.0,Попова З.Д.,,541476,12787,420,4
661.0,Кузнецова А.А.,,684849,72,33,5
677.0,Худякова Е.С.,,680782,44,20,3
